,id,bairro,subprefeitura,tipo_escola,nome_escola,logradouro,numero_endereco,lat,lon,quantidade
0,178,CAJU,CENTRO,CENTRO INTEGRADO DE EDUCACAO PUBLICA,HENFIL,RUA CARLOS SEIDL,S/N,-22.88089,-43.22533,20
1,634,BENFICA,CENTRO,ESCOLA MUNICIPAL,ALICE DO AMARAL PEIXOTO,RUA EBANO,187,-22.88957,-43.2362,121
2,483,CENTRO,CENTRO,ESCOLA MUNICIPAL,CELESTINO SILVA,RUA DO LAVRADIO,56,-22.90929,-43.18358,220
3,476,SAO CRISTOVAO,CENTRO,ESCOLA MUNICIPAL,FLORIANO PEIXOTO,PRACA ARGENTINA,20,-22.89763,-43.22746,190
4,132,RIO COMPRIDO,CENTRO,ESCOLA MUNICIPAL,PEREIRA PASSOS,PRACA CONDESSA PAULO DE FRONTIN,45,-22.92441,-43.20858,67
5,017,IPANEMA,ZONA SUL,ESCOLA MUNICIPAL,PRESIDENTE JOSE LINHARES,RUA BARAO DA TORRE,90,-22.98333,-43.19904,48
6,055,SANTA TERESA,CENTRO,ESCOLA MUNICIPAL,SANTA CATARINA,RUA EDUARDO SANTOS,38,-22.91554,-43.19159,92
7,490,CENTRO,CENTRO,ESCOLA MUNICIPAL,TIA CIATA,AVENIDA PRESIDENTE VARGAS,S/N,-22.90712,-43.19507,578
8,600,BENFICA,CENTRO,ESCOLA MUNICIPAL,URUGUAI,RUA ANA NERUA,192,-22.89849,-43.23776,591
9,089,RIO COMPRIDO,CENTRO,ESCOLA MUNICIPAL,MARIO CLAUDIO,RUA HADDOCK LOBO,148,-22.91723,-43.21104,473
10,387,HUMAITA,ZONA SUL,CENTRO INTEGRADO DE EDUCACAO PUBLICA,PRESIDENTE AGOSTINHO NETO,RUA VISCONDE DE SILVA,S/N,-22.95917,-43.19972,456
11,331,CATETE,ZONA SUL,CENTRO INTEGRADO DE EDUCACAO PUBLICA,TANCREDO NEVES,RUA DO CATETE,77,-22.92278,-43.17668,223
12,450,FLAMENGO,ZONA SUL,ESCOLA MUNICIPAL,ALBERTO BARTH,AVENIDA OSWALDO CRUZ,124,-22.94071,-43.17647,420
13,558,COPACABANA,ZONA SUL,ESCOLA MUNICIPAL,CICERO PENA,AVENIDA ATLANTICA,1976,-22.96865,-43.18114,573
14,413,COPACABANA,ZONA SUL,ESCOLA MUNICIPAL,COCIO BARCELOS,RUA BARAO DE IPANEMA,34,-22.97483,-43.18906,327
15,540,IPANEMA,ZONA SUL,ESCOLA MUNICIPAL,HENRIQUE DODSWORTH,AVENIDA EPITACIO PESSOA,474,-22.98196,-43.21358,516
16,309,BOTAFOGO,ZONA SUL,ESCOLA MUNICIPAL,MEXICO,RUA DA MATRIZ,67,-22.95271,-43.19176,319
17,268,URCA,ZONA SUL,ESCOLA MUNICIPAL,MINAS GERAIS,AVENIDA PASTEUR,433,-22.95382,-43.16888,308
18,523,BOTAFOGO,ZONA SUL,ESCOLA MUNICIPAL,PRESIDENTE DA COSTA E SILVA,RUA ASSUNCAO,257,-22.94556,-43.18659,111
